State,District,City,Latitude,Longitude,Population,Area (in km^2),Pop_Density_per_sqkm,Trip Focus,PT_route_km_est,Coverage_km_per_km2,Accessibility_500m_pct,Avg_Trip_km_est,Fare_per_km_INR,Pct_Income_Spent_on_PT_monthly,Ridership_bus_per_day,Ridership_metro_per_day,Ridership_ipt_per_day,Frequency_score,Affordability_score,Integration_score,Reliability_score,NMT_score,City_Score,Recommended_PT_System,Recommended_PT_Reason
Rajasthan,Tonk,Tonk,26.17,75.78,165294,814,203.06,Short Trips (IPT/Bus Focus),372.147,0.4572,10.16,6.6,2.05,5.733,65423,3537,90217,80.1,89.8,20.7,19.9,100,78.55,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 165,294, density 203.06, NA% short trips, and NA% medium trips."
Rajasthan,Bundi,Bundi,25.43,75.65,103286,1886,54.76,Short Trips (IPT/Bus Focus),900.214,0.4773,11.4,6.57,1.95,6.824,44351,2107,52965,64.9,90.2,22.6,35.1,100,77.28,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 103,286, density 54.76, NA% short trips, and NA% medium trips."
Rajasthan,Bhilwara,Bhilwara,25.35,74.64,359483,969,370.98,Short Trips (IPT/Bus Focus),231.078,0.2385,8.22,5.15,2.47,7.032,143146,14451,179094,100,87.6,20.1,0,100,80.15,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 359,483, density 370.98, NA% short trips, and NA% medium trips."
Rajasthan,Banswara,Banswara,23.55,74.43,101017,1135,89,Short Trips (IPT/Bus Focus),532.403,0.4691,9.89,7.37,1.74,6.81,36972,2041,49175,42.7,91.3,19.5,57.3,100,74.92,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 101,017, density 89.0, NA% short trips, and NA% medium trips."
Rajasthan,Chittaurgarh,Chittaurgarh,24.88,74.63,116406,983,118.42,Short Trips (IPT/Bus Focus),600.01,0.6104,9.06,5.62,2.37,5.992,44141,2282,65443,66.2,88.2,19.3,33.8,100,76.78,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 116,406, density 118.42, NA% short trips, and NA% medium trips."
Rajasthan,Kota,Kota,25,76.17,1001694,0,0,Long Trips (Metro/BRT Focus),74.041,0,30.14,6.61,2.22,4.714,767899,152658,218970,73,88.9,50.7,27,88.5,59.56,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,001,694, density 0.0, NA% short trips, and NA% medium trips."
Rajasthan,Baran,Baran,25.1,76.51,117992,627,188.19,Short Trips (IPT/Bus Focus),419.483,0.669,10.61,7.58,1.69,6.835,51468,6442,64660,42.3,91.6,23.4,57.7,100,75.31,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 117,992, density 188.19, NA% short trips, and NA% medium trips."
Rajasthan,Udaipur,Udaipur,24.57,73.69,451100,0,0,Short Trips (IPT/Bus Focus),4.672,0,9.7,7.14,1.85,6.217,151118,8932,243684,100,90.8,18.3,0,100,60.45,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 451,100, density 0.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Saharanpur,Saharanpur,29.96,77.55,705478,787,896.41,Short Trips (IPT/Bus Focus),490.28,0.623,26.94,6.58,2.1,5.456,492847,14956,239016,100,89.5,42,0,100,82.62,Bus System + IPT (dedicated lanes on major corridors),"Based on population 705,478, density 896.41, NA% short trips, and NA% medium trips."
Uttar Pradesh,Muzaffarnagar,Shamli,29.45,77.31,107266,610,175.85,Short Trips (IPT/Bus Focus),89.328,0.1464,11.25,6.3,2.11,5.957,41448,2338,54384,39.5,89.4,21.1,60.5,100,74.47,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 107,266, density 175.85, NA% short trips, and NA% medium trips."
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,29.47,77.7,392768,1045,375.85,Short Trips (IPT/Bus Focus),810.928,0.776,10.4,6.64,1.91,6.934,164413,28908,195363,100,90.4,23.3,0,100,80.89,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 392,768, density 375.85, NA% short trips, and NA% medium trips."
Uttar Pradesh,Moradabad,Moradabad,28.84,78.8,887871,755,1175.99,Short Trips (IPT/Bus Focus),547.409,0.725,19.61,7.37,1.85,5.663,693782,18823,249847,100,90.8,39.8,0,97.9,82.39,Bus System + IPT (dedicated lanes on major corridors),"Based on population 887,871, density 1175.99, NA% short trips, and NA% medium trips."
Uttar Pradesh,Moradabad,Sambhal,28.59,78.57,220813,868,254.39,Short Trips (IPT/Bus Focus),355.162,0.4092,12.4,7.17,1.8,6.769,88943,4284,122640,95.3,91,22.3,4.7,100,80.41,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 220,813, density 254.39, NA% short trips, and NA% medium trips."
Uttar Pradesh,Moradabad,Chandausi,28.45,78.77,114383,617,185.39,Short Trips (IPT/Bus Focus),103.601,0.1679,8.32,6.19,2.02,7.581,46211,2196,52296,67.6,89.9,19.7,32.4,100,77.21,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 114,383, density 185.39, NA% short trips, and NA% medium trips."
Uttar Pradesh,Rampur,Rampur,28.8,79,325313,329,988.79,Short Trips (IPT/Bus Focus),156.083,0.4744,10.14,6.08,2.15,6.325,124530,6246,175149,100,89.2,20.2,0,100,80.4,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 325,313, density 988.79, NA% short trips, and NA% medium trips."
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,28.9,78.47,198471,634,313.05,Short Trips (IPT/Bus Focus),136.683,0.2156,11.54,6.16,2.13,6.351,64106,3771,94949,93.8,89.4,19.1,6.2,100,79.7,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 198,471, density 313.05, NA% short trips, and NA% medium trips."
Uttar Pradesh,Meerut,Meerut,28.98,77.71,1305429,929,1405.2,Long Trips (Metro/BRT Focus),582.022,0.6265,28.78,7.98,1.82,4.83,991604,88247,365259,82.8,90.9,46.8,17.2,86.6,80.26,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,305,429, density 1405.2, NA% short trips, and NA% medium trips."
Uttar Pradesh,Baghpat,Baraut,29.17,77.43,103764,731,141.95,Short Trips (IPT/Bus Focus),338.51,0.4631,13.11,6.27,2.06,6.637,45386,1992,46341,55.6,89.7,24,44.4,100,76.42,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 103,764, density 141.95, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghaziabad,Modinagar,28.84,77.58,130325,263,495.53,Short Trips (IPT/Bus Focus),81.05,0.3082,10.09,5.97,2.09,7.529,49159,2528,67143,92.2,89.6,19.9,7.8,100,79.65,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 130,325, density 495.53, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghaziabad,Loni,28.75,77.28,516082,35,14745.2,Short Trips (IPT/Bus Focus),49.081,1.4023,23.24,7.55,1.8,5.729,389539,10528,166591,63,91,41.3,37,100,79.08,Bus System + IPT (dedicated lanes on major corridors),"Based on population 516,082, density 14745.2, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghaziabad,Ghaziabad,28.67,77.45,1648643,457,3607.53,Long Trips (Metro/BRT Focus),315.284,0.6899,24.9,7.02,2.04,4.971,1379584,65946,290491,81.6,89.8,45.8,18.4,97.6,80.97,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 1,648,643, density 3607.53, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghaziabad,Khora,28.37,77.2,190005,10,19000.5,Short Trips (IPT/Bus Focus),10.188,1.0188,11.3,7.45,1.7,7.026,58294,7980,100247,63.6,91.5,19.2,36.4,100,77,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 190,005, density 19000.5, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghaziabad,Hapur,28.73,77.78,262983,378,695.72,Short Trips (IPT/Bus Focus),158.43,0.4191,9.62,6.18,2.09,6.577,101932,15095,120499,100,89.6,21.2,0,100,80.56,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 262,983, density 695.72, NA% short trips, and NA% medium trips."
Uttar Pradesh,Gautam Buddha Nagar,Noida,28.57,77.32,637272,203,3139.27,Long Trips (Metro/BRT Focus),76.21,0.3754,26.95,7.81,1.78,5.303,473875,33011,205966,100,91.1,44.5,0,100,83.12,Bus System + IPT (dedicated lanes on major corridors),"Based on population 637,272, density 3139.27, NA% short trips, and NA% medium trips."
Uttar Pradesh,Gautam Buddha Nagar,Greater Noida,28.47,77.5,102054,0,0,Short Trips (IPT/Bus Focus),5.011,0,12.33,6.65,2.06,5.586,40413,2204,50537,44.9,89.7,22.1,55.1,100,55.16,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 102,054, density 0.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Bulandshahr,Bulandshahr,28.41,77.85,230024,753,305.48,Short Trips (IPT/Bus Focus),259.245,0.3443,8.75,5.9,2.22,6.416,79174,4692,105443,100,88.9,18,0,100,80.14,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 230,024, density 305.48, NA% short trips, and NA% medium trips."
Uttar Pradesh,Bulandshahr,Khurja,28.25,77.85,121207,684,177.2,Short Trips (IPT/Bus Focus),162.901,0.2382,11.12,5.46,2.4,6.354,41429,2521,62955,54,88,19.5,46,100,75.55,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 121,207, density 177.2, NA% short trips, and NA% medium trips."
Uttar Pradesh,Aligarh,Aligarh,27.9,78.07,874408,0,0,Short Trips (IPT/Bus Focus),15.061,0,23.74,7.17,1.91,5.529,636919,17138,269143,100,90.4,40.8,0,100,62.64,Bus System + IPT (dedicated lanes on major corridors),"Based on population 874,408, density 0.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Mahamaya Nagar,Hathras,27.6,78.05,143020,492,290.69,Short Trips (IPT/Bus Focus),332.568,0.676,13.16,5.53,2.22,7.99,50057,2803,76973,77,88.9,21.1,23,100,78.14,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 143,020, density 290.69, NA% short trips, and NA% medium trips."
Uttar Pradesh,Mathura,Mathura,27.49,77.67,349909,1078,324.59,Short Trips (IPT/Bus Focus),450.765,0.4181,9.51,6.39,2.03,6.521,127997,9098,189371,100,89.8,19.4,0,100,80.41,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 349,909, density 324.59, NA% short trips, and NA% medium trips."
Uttar Pradesh,Agra,Agra,27.18,78.01,1585704,543,2920.27,Long Trips (Metro/BRT Focus),488.902,0.9004,23.78,7.67,1.89,4.799,1211795,32983,427506,54.5,90.6,42,45.5,98.3,78.07,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,585,704, density 2920.27, NA% short trips, and NA% medium trips."
Uttar Pradesh,Firozabad,Firozabad,27.16,78.4,604214,451,1339.72,Short Trips (IPT/Bus Focus),254.051,0.5633,24.39,5.6,2.66,4.6,402407,44349,226097,97,86.7,40.9,3,96.3,81.42,Bus System + IPT (dedicated lanes on major corridors),"Based on population 604,214, density 1339.72, NA% short trips, and NA% medium trips."
Uttar Pradesh,Firozabad,Shikohabad,27.11,78.58,107404,750,143.21,Short Trips (IPT/Bus Focus),280.436,0.3739,10.26,6.92,1.86,6.602,39052,2320,57783,36,90.7,19.7,64,100,74.18,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 107,404, density 143.21, NA% short trips, and NA% medium trips."
Uttar Pradesh,Mainpuri,Mainpuri,27.23,79.02,136557,1015,134.54,Short Trips (IPT/Bus Focus),319.626,0.3149,8.7,6.57,1.99,6.321,45883,2758,67514,43.7,90,17.7,56.3,100,74.64,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 136,557, density 134.54, NA% short trips, and NA% medium trips."
Uttar Pradesh,Budaun,Budaun,28.03,79.12,159285,1161,137.2,Short Trips (IPT/Bus Focus),746.368,0.6429,12.86,7.31,1.78,6.527,66836,3122,81936,100,91.1,23.2,0,100,80.98,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 159,285, density 137.2, NA% short trips, and NA% medium trips."
Uttar Pradesh,Bareilly,Bareilly,28.35,79.4,904797,728,1242.85,Short Trips (IPT/Bus Focus),294.013,0.4039,27.4,6.13,2.15,6.141,674798,17191,289354,100,89.2,43.8,0,100,82.76,Bus System + IPT (dedicated lanes on major corridors),"Based on population 904,797, density 1242.85, NA% short trips, and NA% medium trips."
Uttar Pradesh,Pilibhit,Pilibhit,28.63,79.8,127988,1047,122.24,Short Trips (IPT/Bus Focus),486.645,0.4648,11.76,6.01,2.23,5.892,48815,2585,55547,35.7,88.8,21.2,64.3,100,74.01,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 127,988, density 122.24, NA% short trips, and NA% medium trips."
Uttar Pradesh,Shahjahanpur,Shahjahanpur,27.88,79.91,329736,1042,316.45,Short Trips (IPT/Bus Focus),359.86,0.3454,9.63,6.11,2.18,6.1,158207,6595,133081,100,89.1,23.1,0,100,80.68,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 329,736, density 316.45, NA% short trips, and NA% medium trips."
Uttar Pradesh,Kheri,Lakhimpur,27.95,80.78,151993,1474,103.12,Short Trips (IPT/Bus Focus),529.372,0.3591,8.98,5.8,2.29,6.074,63107,3101,73230,75.7,88.6,20.5,24.3,100,77.91,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 151,993, density 103.12, NA% short trips, and NA% medium trips."
Uttar Pradesh,Sitapur,Sitapur,27.58,80.66,177234,848,209,Short Trips (IPT/Bus Focus),471.168,0.5556,6.44,5.87,2.16,7.128,73623,3580,87979,83.4,89.2,18.8,16.6,100,78.6,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 177,234, density 209.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Hardoi,Hardoi,27.4,80.13,197029,1585,124.31,Short Trips (IPT/Bus Focus),576.489,0.3637,11.28,6.9,1.96,5.777,68724,3980,106041,98.2,90.2,19.8,1.8,100,80.33,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 197,029, density 124.31, NA% short trips, and NA% medium trips."
Uttar Pradesh,Unnao,Unnao,26.54,80.49,177658,1001,177.48,Short Trips (IPT/Bus Focus),371.353,0.371,8.98,6.62,1.89,7.514,73906,3340,86697,80.6,90.6,20.5,19.4,100,78.7,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 177,658, density 177.48, NA% short trips, and NA% medium trips."
Uttar Pradesh,Lucknow,Lucknow,26.85,80.95,2817105,938,3003.31,Long Trips (Metro/BRT Focus),654.288,0.6975,25.39,8.48,1.75,4.609,2052543,224805,649061,100,91.2,43.9,0,96.9,82.76,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 2,817,105, density 3003.31, NA% short trips, and NA% medium trips."
Uttar Pradesh,Rae Bareli,Rae Bareli,26.36,81.4,191316,50,3826.32,Short Trips (IPT/Bus Focus),30.723,0.6145,7.56,6.74,2.05,5.464,60111,4018,91679,100,89.8,16.2,0,100,80.09,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 191,316, density 3826.32, NA% short trips, and NA% medium trips."
Uttar Pradesh,Farrukhabad,Farrukhabad,27.39,79.59,276581,886,312.17,Short Trips (IPT/Bus Focus),436.62,0.4928,8.35,6.7,1.88,7.15,91548,16097,142937,100,90.6,18.5,0,100,80.44,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 276,581, density 312.17, NA% short trips, and NA% medium trips."
Uttar Pradesh,Etawah,Etawah,26.81,79,256838,645,398.2,Short Trips (IPT/Bus Focus),205.285,0.3183,10.43,6.17,2.07,6.866,93592,5291,122409,100,89.6,19.8,0,100,80.42,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 256,838, density 398.2, NA% short trips, and NA% medium trips."
Uttar Pradesh,Kanpur Nagar,Kanpur,26.45,80.33,2768057,1122,2467.07,Short Trips (IPT/Bus Focus),488.007,0.4349,29.35,6.57,2.22,4.809,2081025,214248,523716,100,88.9,47.2,0,99,82.96,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 2,768,057, density 2467.07, NA% short trips, and NA% medium trips."
Uttar Pradesh,Jalaun,Orai,25.98,79.47,190575,927,205.58,Short Trips (IPT/Bus Focus),403.826,0.4356,11.27,6.26,2.04,6.812,72342,3735,101729,88.6,89.8,20.8,11.4,100,79.41,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 190,575, density 205.58, NA% short trips, and NA% medium trips."
Uttar Pradesh,Jhansi,Jhansi,25.44,78.57,505693,1185,426.75,Short Trips (IPT/Bus Focus),672.847,0.5678,25.66,7.25,1.81,6.438,365414,10013,191961,100,91,41.9,0,100,82.84,Bus System + IPT (dedicated lanes on major corridors),"Based on population 505,693, density 426.75, NA% short trips, and NA% medium trips."
Uttar Pradesh,Lalitpur,Lalitpur,24.69,78.41,133305,1834,72.69,Short Trips (IPT/Bus Focus),550.7,0.3003,9.7,7.02,1.85,6.447,57588,2506,65026,86.4,90.8,21.5,13.6,100,79.41,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 133,305, density 72.69, NA% short trips, and NA% medium trips."
Uttar Pradesh,Banda,Banda,25.5,80.3,160473,443,362.24,Short Trips (IPT/Bus Focus),245.286,0.5537,13.18,7.03,1.79,7.221,66757,3242,89319,65.7,91,23.3,34.3,100,77.55,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 160,473, density 362.24, NA% short trips, and NA% medium trips."
Uttar Pradesh,Fatehpur,Fatehpur,25.92,80.81,193193,1632,118.38,Short Trips (IPT/Bus Focus),725.165,0.4443,9.72,6.11,2.16,6.245,83073,5912,95940,94,89.2,21.8,6,100,79.96,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 193,193, density 118.38, NA% short trips, and NA% medium trips."
Uttar Pradesh,Allahabad,Allahabad,25.47,81.88,1168385,305,3830.77,Long Trips (Metro/BRT Focus),129.602,0.4249,35.03,7.32,1.91,5.245,891010,73842,314296,53.6,90.4,50.9,46.4,86.8,77.69,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 1,168,385, density 3830.77, NA% short trips, and NA% medium trips."
Uttar Pradesh,Faizabad,Faizabad,26.77,82.15,165228,425,388.77,Short Trips (IPT/Bus Focus),134.35,0.3161,9.3,6.34,2.15,5.734,64505,5188,84398,63.4,89.2,20.3,36.6,100,76.75,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 165,228, density 388.77, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ambedkar Nagar,Akbarpur,26.43,82.53,111447,609,183,Short Trips (IPT/Bus Focus),213.604,0.3507,10.17,6.32,2.01,7.009,48925,2207,49148,52.4,90,22.1,47.6,100,75.95,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 111,447, density 183.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Sultanpur,Sultanpur,26.26,82.07,107640,767,140.34,Short Trips (IPT/Bus Focus),293.906,0.3832,10.14,7.99,1.61,6.709,36382,2174,53971,32.1,92,18.7,67.9,100,73.88,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 107,640, density 140.34, NA% short trips, and NA% medium trips."
Uttar Pradesh,Bahraich,Bahraich,27.57,81.6,186223,870,214.05,Short Trips (IPT/Bus Focus),550.899,0.6332,10.11,6.29,2.11,6.059,66891,3687,95421,91.2,89.4,19.4,8.8,100,79.47,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 186,223, density 214.05, NA% short trips, and NA% medium trips."
Uttar Pradesh,Gonda,Gonda,27.13,81.96,114046,1175,97.06,Short Trips (IPT/Bus Focus),528.918,0.4501,9.33,7.07,1.78,7.391,50226,2258,53031,67,91.1,21.6,33,100,77.52,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 114,046, density 97.06, NA% short trips, and NA% medium trips."
Uttar Pradesh,Basti,Basti,26.82,82.76,114657,829,138.31,Short Trips (IPT/Bus Focus),251.838,0.3038,9.26,6.78,1.93,6.376,48683,2339,51045,85.9,90.4,21,14.1,100,79.25,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 114,657, density 138.31, NA% short trips, and NA% medium trips."
Uttar Pradesh,Gorakhpur,Gorakhpur,26.77,83.36,673446,840,801.72,Short Trips (IPT/Bus Focus),445.631,0.5305,27.58,6.84,2.09,4.944,452960,12930,251061,100,89.6,41.4,0,100,82.58,Bus System + IPT (dedicated lanes on major corridors),"Based on population 673,446, density 801.72, NA% short trips, and NA% medium trips."
Uttar Pradesh,Deoria,Deoria,26.5,83.78,129479,927,139.68,Short Trips (IPT/Bus Focus),339.039,0.3657,8.64,5.88,2.11,7.682,47855,2641,64895,46.3,89.4,18.8,53.7,100,74.92,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 129,479, density 139.68, NA% short trips, and NA% medium trips."
Uttar Pradesh,Azamgarh,Azamgarh,26.07,83.19,110983,579,191.68,Short Trips (IPT/Bus Focus),256.577,0.4431,10.5,6.39,2.05,6.408,45991,2086,49898,41.8,89.8,21.4,58.2,100,74.79,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 110,983, density 191.68, NA% short trips, and NA% medium trips."
Uttar Pradesh,Mau,Maunath Bhanjan,25.93,83.33,278745,512,544.42,Short Trips (IPT/Bus Focus),243.637,0.4759,10.72,5.89,2.22,6.352,118522,5519,122313,100,88.9,22,0,100,80.54,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 278,745, density 544.42, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ballia,Ballia,25.76,84.15,104424,804,129.88,Short Trips (IPT/Bus Focus),447.179,0.5562,10.48,7.15,1.86,6.08,37426,3049,53361,80.2,90.7,19.9,19.8,100,78.62,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 104,424, density 129.88, NA% short trips, and NA% medium trips."
Uttar Pradesh,Jaunpur,Jaunpur,25.75,82.7,180362,711,253.67,Short Trips (IPT/Bus Focus),298.765,0.4202,11.28,5.95,2.12,7.398,76365,3535,87079,71.6,89.4,22.3,28.4,100,77.8,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 180,362, density 253.67, NA% short trips, and NA% medium trips."
Uttar Pradesh,Ghazipur,Ghazipur,25.58,83.58,121020,678,178.5,Short Trips (IPT/Bus Focus),430.914,0.6356,11.16,6.03,2.07,7.426,50030,2372,60825,100,89.6,21.9,0,100,80.63,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 121,020, density 178.5, NA% short trips, and NA% medium trips."
Uttar Pradesh,Chandauli,Mughalsarai,25.3,83.12,109650,0,0,Short Trips (IPT/Bus Focus),6.195,0,9.26,7.6,1.74,6.211,45856,3684,58794,45.1,91.3,21.2,54.9,100,55.32,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 109,650, density 0.0, NA% short trips, and NA% medium trips."
Uttar Pradesh,Varanasi,Varanasi,25.32,82.99,1198491,840,1426.78,Long Trips (Metro/BRT Focus),372.241,0.4431,32.14,7.33,2.01,4.732,964785,47940,248807,63.8,90,49.6,36.2,89.5,78.79,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,198,491, density 1426.78, NA% short trips, and NA% medium trips."
Uttar Pradesh,Mirzapur,Mirzapur,25.13,82.56,234871,1160,202.48,Short Trips (IPT/Bus Focus),757.191,0.6528,9.86,6.22,2.11,6.359,92116,7140,104612,93.7,89.4,20.7,6.3,100,79.85,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 234,871, density 202.48, NA% short trips, and NA% medium trips."
Uttar Pradesh,Etah,Etah,27.56,78.66,118517,1250,94.81,Short Trips (IPT/Bus Focus),595.748,0.4766,11.46,6.18,2.12,6.289,46316,2323,64544,84.2,89.4,21.3,15.8,100,78.96,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 118,517, density 94.81, NA% short trips, and NA% medium trips."
Uttar Pradesh,Kanshiram Nagar,Kasganj,27.8,78.63,101277,591,171.37,Short Trips (IPT/Bus Focus),179.69,0.304,7.68,6.39,2,6.969,39458,2026,47418,36.4,90,18.8,63.6,100,74.02,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 101,277, density 171.37, NA% short trips, and NA% medium trips."
Bihar,Pashchim Champaran,Bagaha (Nagar Parishad),27.13,84.07,112634,0,0,Short Trips (IPT/Bus Focus),5.683,0,9.86,6.06,2.16,6.373,39692,2208,55979,74.4,89.2,19,25.6,100,57.72,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 112,634, density 0.0, NA% short trips, and NA% medium trips."
Bihar,Pashchim Champaran,Bettiah (Nagar Parishad),26.8,84.5,132209,0,0,Short Trips (IPT/Bus Focus),2.981,0,7.86,5.86,2.24,6.327,55581,2538,68828,79.4,88.8,19.9,20.6,100,58.25,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 132,209, density 0.0, NA% short trips, and NA% medium trips."
Bihar,Purba Champaran,Motihari (Nagar Parishad),26.6,84.9,126158,122,1034.08,Short Trips (IPT/Bus Focus),52.051,0.4266,10.72,7.63,1.66,6.946,40345,2574,67242,63.7,91.7,18.5,36.3,100,76.98,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 126,158, density 1034.08, NA% short trips, and NA% medium trips."
Bihar,Kishanganj,Kishanganj (Nagar Parishad),26.06,87.9,105782,0,0,Short Trips (IPT/Bus Focus),5.86,0,8.52,6.73,2.04,5.597,42651,1883,48744,91.4,89.8,19.7,8.6,100,59.58,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 105,782, density 0.0, NA% short trips, and NA% medium trips."
Bihar,Purnia,Purnia,25.77,87.47,282248,92,3067.91,Short Trips (IPT/Bus Focus),37.07,0.4029,8.93,7.61,1.73,6.245,106520,5476,124697,100,91.4,19.2,0,100,80.63,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 282,248, density 3067.91, NA% short trips, and NA% medium trips."
Bihar,Katihar,Katihar,25.53,87.58,240838,115,2094.24,Short Trips (IPT/Bus Focus),62.271,0.5415,10.84,5.5,2.29,7.351,79766,14402,125621,65.6,88.6,20.3,34.4,100,76.88,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 240,838, density 2094.24, NA% short trips, and NA% medium trips."
Bihar,Saharsa,Saharsa (Nagar Parishad),25.88,86.6,156540,1687,92.79,Short Trips (IPT/Bus Focus),938.957,0.5566,10.72,6.36,2.08,6.118,46774,3256,89134,33.8,89.6,17.8,66.2,100,73.6,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 156,540, density 92.79, NA% short trips, and NA% medium trips."
Bihar,Darbhanga,Darbhanga,26.15,85.9,296039,196,1510.4,Short Trips (IPT/Bus Focus),93.826,0.4787,9.55,7.12,1.77,7.135,121021,5625,130435,100,91.2,20.6,0,100,80.74,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 296,039, density 1510.4, NA% short trips, and NA% medium trips."
Bihar,Muzaffarpur,Muzaffarpur,26.12,85.37,354462,93,3811.42,Short Trips (IPT/Bus Focus),46.329,0.4982,9.59,6.3,2.11,6.076,144550,6947,188503,100,89.4,20.6,0,100,80.47,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 354,462, density 3811.42, NA% short trips, and NA% medium trips."
Bihar,Siwan,Siwan (Nagar Parishad),26.22,84.36,135066,69,1957.48,Short Trips (IPT/Bus Focus),43.626,0.6323,8.91,6.26,2.14,5.882,42978,3161,71720,48.6,89.3,17.3,51.4,100,74.98,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 135,066, density 1957.48, NA% short trips, and NA% medium trips."
